fert,irr,rep,y
Control,High,1,63.22575068
Control,High,2,51.61181097
Control,High,3,57.17877047
Control,High,4,58.79717563
Control,High,5,57.42560994
Control,High,6,54.3632529
Control,High,7,64.06913198
Control,High,8,54.43204577
Control,High,9,67.11054228
Control,High,10,54.62371541
Control,High,11,62.82921793
Control,High,12,68.71987236
Control,High,13,46.66683579
Control,High,14,53.3272674
Control,High,15,54.20007198
Control,High,16,58.81570239
Control,High,17,53.29448247
Control,High,18,39.06126747
Control,High,19,40.35719843
Control,High,20,62.92068007
Control,Low,1,48.16016844
Control,Low,2,39.3121494
Control,Low,3,48.96849587
Control,Low,4,57.2880482
Control,Low,5,61.37116077
Control,Low,6,47.41718521
Control,Low,7,48.4563837
Control,Low,8,39.42102149
Control,Low,9,52.76058413
Control,Low,10,46.16003074
Control,Low,11,52.73270074
Control,Low,12,54.22902402
Control,Low,13,56.21062113
Control,Low,14,46.34644175
Control,Low,15,53.02973074
Control,Low,16,39.69794793
Control,Low,17,45.29324595
Control,Low,18,44.89455443
Control,Low,19,35.5147541
Control,Low,20,50.21673564
N,High,1,73.2359916
N,High,2,69.83365621
N,High,3,76.54897941
N,High,4,67.63977104
N,High,5,63.79031373
N,High,6,74.59690816
N,High,7,67.13164094
N,High,8,80.66460757
N,High,9,69.41132278
N,High,10,75.9338873
N,High,11,73.93155159
N,High,12,67.29696635
N,High,13,81.45436512
N,High,14,75.85739583
N,High,15,72.53856388
N,High,16,73.65930448
N,High,17,76.0757329
N,High,18,72.53899732
N,High,19,54.0414595
N,High,20,73.70929772
N,Low,1,57.79659214
N,Low,2,61.11138339
N,Low,3,63.49094236
N,Low,4,68.39842096
N,Low,5,55.63624764
N,Low,6,67.81525579
N,Low,7,62.01508872
N,Low,8,66.23103659
N,Low,9,65.52437141
N,Low,10,64.32526898
N,Low,11,53.74128637
N,Low,12,59.45888168
N,Low,13,63.74110897
N,Low,14,54.27885985
N,Low,15,56.74302711
N,Low,16,63.48597899
N,Low,17,64.60907243
N,Low,18,62.78260553
N,Low,19,54.68534222
N,Low,20,53.40131461
N+P,High,1,79.07624206
N+P,High,2,71.54752863
N+P,High,3,70.53064137
N+P,High,4,69.27462077
N+P,High,5,62.83402663
N+P,High,6,73.67198139
N+P,High,7,68.69716093
N+P,High,8,68.90345976
N+P,High,9,75.60007797
N+P,High,10,74.93063866
N+P,High,11,78.35269826
N+P,High,12,67.14295646
N+P,High,13,73.90209136
N+P,High,14,78.34666274
N+P,High,15,63.33526672
N+P,High,16,64.83524448
N+P,High,17,63.20956791
N+P,High,18,61.244716
N+P,High,19,70.47989532
N+P,High,20,73.91922604
N+P,Low,1,70.20579225
N+P,Low,2,69.26850652
N+P,Low,3,56.98074812
N+P,Low,4,74.09089141
N+P,Low,5,58.99935955
N+P,Low,6,63.63308287
N+P,Low,7,60.46646471
N+P,Low,8,62.26589897
N+P,Low,9,64.12915821
N+P,Low,10,63.71496575
N+P,Low,11,62.84944469
N+P,Low,12,63.64843637
N+P,Low,13,60.08738858
N+P,Low,14,59.97469722
N+P,Low,15,53.03340552
N+P,Low,16,60.70599764
N+P,Low,17,59.92409845
N+P,Low,18,79.211346
N+P,Low,19,54.82730261
N+P,Low,20,63.82353731
